time,AccX,AccY,AccZ,pressureTR, pressureBR, pressureTL, pressureBL,rawPressureTR,rawPressureBR,rawPressureTL,rawPressureBL
19:32:52.351847,-0.269231,0.166667,-1.019231,,,,,,,,
19:32:52.383276,-0.250000,0.166667,-0.980769,,,,,,,,
19:32:52.383796,-0.211538,0.166667,-0.961538,,,,,,,,
19:32:52.394918,-0.250000,0.166667,-0.980769,,,,,,,,
19:32:52.422414,-0.211538,0.148148,-0.961538,,,,,,,,
19:32:52.431594,-0.230769,0.166667,-1.000000,,,,,,,,
19:32:52.447774,-0.211538,0.166667,-0.961538,,,,,,,,
19:32:52.467278,-0.211538,0.111111,-0.980769,,,,,,,,
19:32:52.495090,-0.230769,0.111111,-1.000000,,,,,,,,
19:32:52.508956,-0.211538,0.148148,-0.961538,,,,,,,,
19:32:52.509776,-0.211538,0.129630,-0.961538,,,,,,,,
19:32:52.538503,-0.211538,0.148148,-0.961538,,,,,,,,
19:32:52.556979,-0.230769,0.166667,-1.000000,,,,,,,,
19:32:52.585563,-0.211538,0.166667,-0.961538,,,,,,,,
19:32:52.605870,-0.250000,0.166667,-0.980769,,,,,,,,
19:32:52.618999,-0.211538,0.148148,-0.961538,,,,,,,,
19:32:52.621013,-0.250000,0.129630,-0.980769,,,,,,,,
19:32:52.644750,-0.211538,0.111111,-0.961538,,,,,,,,
19:32:52.658168,-0.230769,0.129630,-1.000000,,,,,,,,
19:32:52.662661,-0.230769,0.148148,-1.019231,,,,,,,,
19:32:52.683685,-0.211538,0.166667,-0.961538,,,,,,,,
19:32:52.700637,-0.230769,0.148148,-1.000000,,,,,,,,
19:32:52.700976,-0.211538,0.129630,-0.961538,,,,,,,,
19:32:52.765543,-0.211538,0.092593,-0.961538,,,,,,,,
19:32:52.781954,-0.250000,0.129630,-0.980769,,,,,,,,
19:32:52.829890,-0.269231,0.129630,-1.019231,,,,,,,,
19:32:52.838813,-0.250000,0.111111,-0.980769,,,,,,,,
19:32:52.867891,-0.269231,0.129630,-1.019231,,,,,,,,
19:32:52.868240,-0.250000,0.148148,-0.980769,,,,,,,,
19:32:52.894600,-0.250000,0.185185,-0.980769,,,,,,,,
19:32:52.929898,-0.250000,0.148148,-0.980769,,,,,,,,
19:32:52.977433,-0.211538,0.148148,-0.961538,,,,,,,,
19:32:52.992173,-0.230769,0.166667,-1.000000,,,,,,,,
19:32:53.022441,-0.211538,0.148148,-0.961538,,,,,,,,
19:32:53.039833,-0.250000,0.166667,-0.980769,,,,,,,,
19:32:53.047185,-0.211538,0.148148,-0.980769,,,,,,,,
19:32:53.072548,-0.250000,0.166667,-0.980769,,,,,,,,
19:32:53.099862,-0.250000,0.148148,-0.923077,,,,,,,,
19:32:53.114947,-0.250000,0.148148,-0.961538,,,,,,,,
19:32:53.133869,-0.250000,0.185185,-0.961538,,,,,,,,
19:32:53.134083,-0.250000,0.203704,-0.923077,,,,,,,,
19:32:53.155836,-0.250000,0.148148,-0.923077,,,,,,,,
19:32:53.181120,-0.307692,0.166667,-0.980769,,,,,,,,
19:32:53.208744,-0.250000,0.148148,-0.961538,,,,,,,,
19:32:53.241599,-0.250000,0.129630,-0.980769,,,,,,,,
19:32:53.249280,-0.288462,0.111111,-0.980769,,,,,,,,
19:32:53.249704,-0.346154,0.166667,-0.923077,,,,,,,,
19:32:53.265010,-0.365385,0.166667,-0.942308,,,,,,,,
19:32:53.270067,-0.384615,0.203704,-1.019231,,,,,,,,
19:32:53.284797,-0.326923,0.185185,-1.000000,,,,,,,,
19:32:53.288775,-0.307692,0.203704,-1.019231,,,,,,,,
19:32:53.305464,-0.288462,0.148148,-0.942308,,,,,,,,
19:32:53.325057,-0.288462,0.203704,-0.903846,,,,,,,,
19:32:53.358536,-0.346154,0.185185,-0.961538,,,,,,,,
19:32:53.367172,-0.365385,0.203704,-0.942308,,,,,,,,
19:32:53.379230,-0.365385,0.148148,-0.942308,,,,,,,,
